LOCALIDADE,POPULACAO
ÁGUA RASA,4702
ALTO DE PINHEIROS,1771
ANHANGUERA,5526
ARICANDUVA,5318
ARTUR ALVIM,6347
BARRA FUNDA,965
BELA VISTA,3864
BELÉM,3865
BOM RETIRO,2851
BRÁS,2667
BRASILÂNDIA,23250
BUTANTÃ,2755
CACHOEIRINHA,11487
CAMBUCI,2493
CAMPO BELO,3513
CAMPO GRANDE,6022
CAMPO LIMPO,16553
CANGAÍBA,9635
CAPÃO REDONDO,22335
CARRÃO,4419
CASA VERDE,5616
CIDADE ADEMAR,21303
CIDADE DUTRA,14235
CIDADE LÍDER,9168
CIDADE TIRADENTES,17768
CONSOLAÇÃO,2111
CURSINO,6661
ERMELINO MATARAZZO,8437
FREGUESIA DO Ó,8977
GRAJAÚ,31069
GUAIANASES,8599
IGUATEMI,11386
IPIRANGA,6501
ITAIM BIBI,5049
ITAIM PAULISTA,17862
ITAQUERA,15317
JABAQUARA,14967
JAÇANÃ,6210
JAGUARA,1437
JAGUARÉ,3595
JARAGUÁ,15224
JARDIM ÂNGELA,26583
JARDIM HELENA,11399
JARDIM PAULISTA,4128
JARDIM SÃO LUÍS,21396
JOSÉ BONIFÁCIO,8553
LAJEADO,13962
LAPA,3400
LIBERDADE,4008
LIMÃO,5699
MANDAQUI,6314
MARSILAC,534
MOEMA,4103
MOOCA,4414
MORUMBI,3393
PARELHEIROS,12142
PARI,1453
PARQUE DO CARMO,5191
PEDREIRA,11157
PENHA,7591
PERDIZES,5221
PERUS,7044
PINHEIROS,3066
PIRITUBA,11175
PONTE RASA,5717
RAPOSO TAVARES,8224
REPÚBLICA,3432
RIO PEQUENO,9612
SACOMÃ,16592
SANTA CECÍLIA,4701
SANTANA,6058
SANTO AMARO,3677
SÃO DOMINGOS,5426
SÃO LUCAS,8179
SÃO MATEUS,11078
SÃO MIGUEL,7220
SÃO RAFAEL,11105
SAPOPEMBA,20564
SAÚDE,6597
SÉ,2089
SOCORRO,2055
TATUAPÉ,4679
TREMEMBÉ,15661
TUCURUVI,5048
VILA ANDRADE,10345
VILA CURUÇÁ,10943
VILA FORMOSA,5149
VILA GUILHERME,3741
VILA JACUÍ,9598
VILA LEOPOLDINA,2455
VILA MARIA,8445
VILA MARIANA,6034
VILA MATILDE,6160
VILA MEDEIROS,8563
VILA PRUDENTE,5870
VILA SÔNIA,7940
